id,tsne_x,tsne_y,cluster
2-7951,-11.203295020930678,-6.510235415515293,2
2-7565,-21.576789494699163,-2.7461957367699283,2
2-26046,0.9432265425572085,12.295884325713761,2
2-26010,1.9268359268962048,7.547416110045963,2
2-19906,-15.115429439144467,0.12654819666433645,2
2-15658,-4.839057074339754,0.5916902637575581,2
2-372,11.985562040176918,4.051064606628902,3
2-14908,-11.359563716944326,0.9715465026672832,2
2-11779,-1.3534072562247434,-1.6453932969509226,2
2-15576,-9.044462395159819,7.112683647361041,2
2-15359,-12.392619608206042,6.747692862066081,4
2-15484,-9.499877423751819,1.341446120267651,2
2-36779,-2.3885949268063897,-1.9746718524638416,2
2-13207,10.084930472833992,-7.110170467673224,2
2-7832,-8.577936682054574,-11.329406693785398,2
2-1505,-9.374119903352074,9.135456483824864,2
2-20091,-4.50954583039021,9.835665487053257,2
2-15440,-18.163158922568815,0.7189876352730686,4
2-3461,8.60076156709695,5.288882177031266,3
2-6700,-16.392954766243644,-1.2298210007448986,4
2-15467,-12.404934415996111,7.620397970435678,2
2-7966,-12.0799442353236,-6.01797710047286,2
2-3362,-3.173733064092082,-11.738659787209093,2
2-14909,1.044547744401641,-11.843451831926695,2
2-32545,13.302161601958106,-13.648069749812509,2
2-23367,0.17919723507606491,17.114844468751404,2
2-24658,-1.725766486731482,9.940228811297624,2
2-7897,-2.2880003170489887,-5.132744411086861,2
2-25498,-3.031202003747612,9.964134093458314,2
2-13498,-3.5672824407803136,-4.778104505049998,2
2-20032,-3.9966479652503972,9.259625780942837,2
2-10449,-3.3112184864315375,-9.473843506704748,2
